text,type,topic,subtopic,longitude,longitude (old),latitude,latitude (old),relevance
Solar Energy,sub-subtopic,Solar Panel,Energy Risk indicators ,-53.06648,-123.06648,-5.86293,44.13707,82398
Williams Suggest,sub-subtopic,Solar Panel,Energy efficiency meaasures,-53.06148,-123.06148,-5.31905,44.68095,532343
Akbar Argue,sub-subtopic,Solar Panel,Energy efficiency meaasures,-53.05983,-123.05983,-4.48016,45.51984,60966
Analytical Techniques,sub-subtopic,Solar Panel,Solar forecasting accuracy,-53.05952,-123.05952,-6.20238,43.79762,433280
Solve Problematic,sub-subtopic,Solar Panel,Energy Risk indicators ,-53.0506,-123.0506,-7.56821,42.43179,332960
Cmi Ndf,sub-subtopic,Solar Panel,Renewable energy Integration,-53.04806,-123.04806,-11.66675,38.33325,843956
Final Model,sub-subtopic,Solar Panel,Renewable energy transition ,-53.04458,-123.04458,1.91922,51.91922,629159
Private Sector,sub-subtopic,Solar Panel,Renewable energy transition ,-53.0351,-123.0351,-5.0571,44.9429,420445
Energy Sector,sub-subtopic,Solar Panel,Renewable energy transition ,-53.02621,-123.02621,-5.00988,44.99012,273356
Solar Energy,sub-subtopic,Solar Panel,Solar technology adoption ,-53.02453,-123.02453,-6.0821,43.9179,729337
Extrinsic Motivations,sub-subtopic,Solar Panel,Renewable energy transition ,-53.02203,-123.02203,-5.95376,44.04624,544558
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-53.01722,-123.01722,-11.19454,38.80546,773638
Adopting Solar,sub-subtopic,Solar Panel,Renewable energy transition ,-53.01712,-123.01712,-1.46573,48.53427,268067
Energy Sources,sub-subtopic,Solar Panel,Renewable energy insights,-53.01125,-123.01125,-3.21212,46.78788,10500
Renewable Energies,sub-subtopic,Solar Panel,Solar forecasting solutions ,-53.01094,-123.01094,-4.72183,45.27817,201128
Public Sector,sub-subtopic,Solar Panel,Renewable energy transition ,-53.01037,-123.01037,-5.28043,44.71957,329330
Financial Savings,sub-subtopic,Solar Panel,Solar systems economics ,-53.00889,-123.00889,-11.53453,38.46547,887166
Elect,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.999,-122.999,-3.83211,46.16789,616481
Age,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.99611,-122.99611,-11.49814,38.50186,821374
Thermal Sat,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.99344,-122.99344,-4.40294,45.59706,168851
Solar Thermal,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.98983,-122.98983,-4.47711,45.52289,710093
Nuclear Program,sub-subtopic,Solar Panel,Renewable energy transition ,-52.98902,-122.98902,-3.2649,46.7351,742040
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy insights,-52.98481,-122.98481,-5.60654,44.39346,989546
Energy Pro,sub-subtopic,Solar Panel,Solar urban sustainability ,-52.98371,-122.98371,-5.0721,44.9279,863858
Renewable Energy,sub-subtopic,Solar Panel,Solar forecasting solutions ,-52.98287,-122.98287,-5.01405,44.98595,104503
Economic Growth,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.97316,-122.97316,-4.69988,45.30012,31040
Model Final,sub-subtopic,Solar Panel,Energy assessments,-52.96699,-122.96699,-7.68654,42.31346,302280
Statistical Yearbook,sub-subtopic,Solar Panel,Solar urban sustainability ,-52.96402,-122.96402,-3.33795,46.66205,312488
Regulatory Commission,sub-subtopic,Solar Panel,Solar innovation solutions ,-52.95944,-122.95944,-11.57481,38.42519,260480
Frederik Set,sub-subtopic,Solar Panel,Solar technology adoption ,-52.95706,-122.95706,-3.81961,46.18039,598576
Renewable Energy,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.9543,-122.9543,-3.28379,46.71621,784456
Jordan Fuel,sub-subtopic,Solar Panel,Renewable energy insights,-52.95396,-122.95396,0.11817,50.11817,515969
Statistic,sub-subtopic,Solar Panel,Solar urban sustainability ,-52.95287,-122.95287,-5.15682,44.84318,4792
Million Euro,sub-subtopic,Solar Panel,Renewable energy insights,-52.95263,-122.95263,-0.73364,49.26636,753086
United Arab,sub-subtopic,Solar Panel,Renewable energy insights,-52.94833,-122.94833,-11.59259,38.40741,714127
Mineral Resources,sub-subtopic,Solar Panel,Solar innovation solutions ,-52.94197,-122.94197,-9.26902,40.73098,109411
Article,sub-subtopic,Solar Panel,Energy assessments,-52.93817,-122.93817,-3.86183,46.13817,50621
Energy Strategy,sub-subtopic,Solar Panel,Energy assessments,-52.9379,-122.9379,-3.50878,46.49122,861933
Sustainability Review,sub-subtopic,Solar Panel,Renewable energy transition ,-52.93594,-122.93594,-3.911,46.089,175023
Hierarchical Theory,sub-subtopic,Solar Panel,Solar technology adoption ,-52.91715,-122.91715,-3.81601,46.18399,629210
Jordanian Consumers,sub-subtopic,Solar Panel,Sustainability analysis ,-52.91643,-122.91643,-7.62404,42.37596,934534
Energy Globally,sub-subtopic,Solar Panel,Graphene Silk Panels,-52.91583,-122.91583,-10.95705,39.04295,229697
Electricity,sub-subtopic,Solar Panel,Renewable energy insights,-52.91092,-122.91092,-0.79322,49.20678,696890
Second-Largest Absolute,sub-subtopic,Solar Panel,Renewable energy integration,-52.91055,-122.91055,-10.83539,39.16461,681607
Financial Aspects,sub-subtopic,Solar Panel,Renewable energy transition ,-52.90931,-122.90931,-2.99268,47.00732,321540
Electricity Consumption,sub-subtopic,Solar Panel,Electricity access,-52.90844,-122.90844,-3.85322,46.14678,791309
Main Renewable,sub-subtopic,Solar Panel,Renewable energy transition ,-52.90818,-122.90818,-3.42545,46.57455,765892
Total Capacity,sub-subtopic,Solar Panel,Renewable energy integration,-52.90761,-122.90761,-3.72489,46.27511,422133
Jordan Energy,sub-subtopic,Solar Panel,Renewable energy insights,-52.90703,-122.90703,-5.46349,44.53651,46352
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-52.9068,-122.9068,-0.85601,49.14399,904988
Hierarchical Theory,sub-subtopic,Solar Panel,Renewable energy transition ,-52.90538,-122.90538,-10.91169,39.08831,559215
Domestic Environment,sub-subtopic,Solar Panel,Renewable energy transition ,-52.90314,-122.90314,-5.49377,44.50623,474808
Total Yearly,sub-subtopic,Solar Panel,Renewable energy integration,-52.9007,-122.9007,-2.96213,47.03787,313145
Domestic Sector,sub-subtopic,Solar Panel,Renewable energy transition ,-52.8976,-122.8976,-4.89182,45.10818,399278
Solar Water,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.89027,-122.89027,-11.52648,38.47352,709534
Energy Efficiency,sub-subtopic,Solar Panel,Renewable energy transition ,-52.8776,-122.8776,-4.24572,45.75428,278697
Universal Understanding,sub-subtopic,Solar Panel,Sustainability analysis ,-52.87705,-122.87705,-4.44988,45.55012,786936
Quantitative Data,sub-subtopic,Solar Panel,Sustainability analysis ,-52.87559,-122.87559,-7.67348,42.32652,288037
Respondents Responded,sub-subtopic,Solar Panel,Renewable energy insights,-52.87092,-122.87092,-5.15905,44.84095,679847
Alpha Score,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.86972,-122.86972,-11.5637,38.4363,853899
Educational Background,sub-subtopic,Solar Panel,Renewable energy insights,-52.86916,-122.86916,-11.38953,38.61047,431930
Respondents,sub-subtopic,Solar Panel,Solar urban sustainability ,-52.8676,-122.8676,-4.44211,45.55789,547600
Main Challenges,sub-subtopic,Solar Panel,Renewable energy transition ,-52.86705,-122.86705,-4.50572,45.49428,398791
Bills,sub-subtopic,Solar Panel,Renewable energy insights,-52.85893,-122.85893,-7.56265,42.43735,871598
Bills Payment,sub-subtopic,Solar Panel,Renewable energy insights,-52.85694,-122.85694,-11.89897,38.10103,245990
Respondents Rarely,sub-subtopic,Solar Panel,Renewable energy insights,-52.85537,-122.85537,-4.85627,45.14373,376542
Family Income,sub-subtopic,Solar Panel,Renewable energy insights,-52.85291,-122.85291,-3.14323,46.85677,908690
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy insights,-52.85263,-122.85263,-0.68363,49.31637,742309
Renewable Energy,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.84899,-122.84899,-4.181,45.819,76775
Solar Energy,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.84833,-122.84833,-10.87677,39.12323,588982
Solar Installation,sub-subtopic,Solar Panel,Solar panel perception,-52.84757,-122.84757,-6.29654,43.70346,9000
Airport Solar,sub-subtopic,Solar Panel,Renewable energy insights,-52.84436,-122.84436,-3.99233,46.00767,629262
Energy Sources,sub-subtopic,Solar Panel,Renewable energy insights,-52.84121,-122.84121,-4.45877,45.54123,714091
Thermal Systems,sub-subtopic,Solar Panel,Renewable energy insights,-52.8401,-122.8401,-4.64349,45.35651,479082
Solar Energy,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.83944,-122.83944,-11.02205,38.97795,271472
Solar Thermal,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.83926,-122.83926,-4.77766,45.22234,485791
Systems Connected,sub-subtopic,Solar Panel,Renewable energy Integration,-52.82849,-122.82849,-2.36046,47.63954,735516
Analysis,sub-subtopic,Solar Panel,Solar forecasting accuracy,-52.82764,-122.82764,-2.61435,47.38565,684067
Problematic Issues,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.82737,-122.82737,-2.54935,47.45065,9656
Model Chi-Square,sub-subtopic,Solar Panel,Solar forecasting accuracy,-52.82509,-122.82509,-0.89365,49.10635,707800
Measurement Model,sub-subtopic,Solar Panel,Renewable energy Integration,-52.82457,-122.82457,-0.71876,49.28124,914641
Renewable Energy,sub-subtopic,Solar Panel,Solar panel perception,-52.82388,-122.82388,-11.59786,38.40214,986486
Solar Thermal,sub-subtopic,Solar Panel,Solar Materials ,-52.82319,-122.82319,-2.96574,47.03426,118296
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy insights,-52.81809,-122.81809,-7.72459,42.27541,680445
Domestic Settings,sub-subtopic,Solar Panel,Renewable energy transition ,-52.81638,-122.81638,-11.45287,38.54713,678352
Energy Sources,sub-subtopic,Solar Panel,Solar forecasting solutions ,-52.81254,-122.81254,-7.38932,42.61068,525896
Solar Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-52.81093,-122.81093,-4.47516,45.52484,657153
Consensus,sub-subtopic,Solar Panel,Renewable energy transition ,-52.80787,-122.80787,-4.81766,45.18234,803663
Solar Systems,sub-subtopic,Solar Panel,Solar systems economics ,-52.80752,-122.80752,-9.29263,40.70737,128084
Thermal Sat,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.80705,-122.80705,-4.10989,45.89011,300467
Thermal Sat,sub-subtopic,Solar Panel,Energy Risk indicators ,-52.80649,-122.80649,-4.136,45.864,214810
Occupation,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.80399,-122.80399,-4.59738,45.40262,5986
Household Income,sub-subtopic,Solar Panel,Renewable energy insights,-52.80371,-122.80371,-4.51294,45.48706,263483
Paper Econ,sub-subtopic,Solar Panel,Energy assessments,-52.80282,-122.80282,-7.52737,42.47263,493485
Int,sub-subtopic,Solar Panel,Energy assessments,-52.80273,-122.80273,0.31641,50.31641,635359
Energy Potential,sub-subtopic,Solar Panel,Solar forecasting solutions ,-52.80009,-122.80009,-4.9321,45.0679,588610
Fossil Fuel,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.79843,-122.79843,-4.49516,45.50484,476718
Full Form,sub-subtopic,Solar Panel,Solar innovation solutions ,-52.79638,-122.79638,-10.90983,39.09017,602063
Emr,sub-subtopic,Solar Panel,Renewable energy insights,-52.79507,-122.79507,-0.97951,49.02049,229074
Multivariate Data,sub-subtopic,Solar Panel,Solar urban sustainability ,-52.79453,-122.79453,-5.19932,44.80068,847877
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-52.79453,-122.79453,-5.17043,44.82957,258194
Model,sub-subtopic,Solar Panel,Energy assessments,-52.78916,-122.78916,-10.99899,39.00101,758444
Energy Agency,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.78865,-122.78865,-7.75432,42.24568,516123
Jordan Fuel,sub-subtopic,Solar Panel,Renewable energy insights,-52.78529,-122.78529,-1.96727,48.03273,707525
Million Euro,sub-subtopic,Solar Panel,Renewable energy insights,-52.78368,-122.78368,-6.08154,43.91846,666283
Energy Consumption,sub-subtopic,Solar Panel,Renewable energy transition ,-52.78315,-122.78315,-4.99488,45.00512,542384
Involving Pvt,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.78241,-122.78241,-2.9485,47.0515,13021
Energy Utilization,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.78217,-122.78217,-0.7154,49.2846,61129
Desalination Plants,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.78081,-122.78081,-2.94884,47.05116,445343
Impact Societies,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.77371,-122.77371,-4.70016,45.29984,248607
High-Income Countries,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.77149,-122.77149,-4.56877,45.43123,445063
Research Efforts,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.76954,-122.76954,-4.48238,45.51762,110326
Solar Utilization,sub-subtopic,Solar Panel,Solar technology adoption ,-52.76932,-122.76932,-0.73363,49.26637,121000
Solar Photovoltaic-Thermal,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.76809,-122.76809,-4.48387,45.51613,946288
Pvt Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.76454,-122.76454,-4.50127,45.49873,353895
Pvt-Desalination Technologies,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.76399,-122.76399,-4.61599,45.38401,857109
Desalination Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.76375,-122.76375,-2.72518,47.27482,718593
Section,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.76204,-122.76204,-4.51933,45.48067,853130
Desalination Involve,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.76071,-122.76071,-1.88258,48.11742,176388
Reverse Osmosis,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.75891,-122.75891,-4.536,45.464,846613
Semi-Permeable Membrane,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.7568,-122.7568,-2.79102,47.20898,572292
Reverse Osmosis,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.75301,-122.75301,3.9166,53.9166,514165
Energy Consumption,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.75287,-122.75287,-4.59794,45.40206,937733
Capital Cost,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.75094,-122.75094,-11.48658,38.51342,806014
Mvc,sub-subtopic,Solar Panel,Thermal efficiency,-52.74712,-122.74712,-1.00628,48.99372,133359
Thermally Driven,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.74541,-122.74541,-2.65935,47.34065,55982
High Sec,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.74462,-122.74462,-1.08211,48.91789,867693
Energy Efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.74399,-122.74399,-4.09544,45.90456,281749
Heated Brine,sub-subtopic,Solar Panel,Thermal efficiency,-52.7426,-122.7426,-4.18489,45.81511,590677
Reduced Pressure,sub-subtopic,Solar Panel,Thermal efficiency,-52.7362,-122.7362,-5.60238,44.39762,128228
Vapour Transport,sub-subtopic,Solar Panel,Thermal efficiency,-52.72804,-122.72804,-11.57787,38.42213,36715
Membrane Distillation,sub-subtopic,Solar Panel,Sustainability analysis ,-52.72305,-122.72305,-11.17787,38.82213,473581
Vmd Establish,sub-subtopic,Solar Panel,Thermal efficiency,-52.72259,-122.72259,-4.64266,45.35734,257615
Extracted Water,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.72082,-122.72082,-11.04594,38.95406,123667
Draw Solution,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.71446,-122.71446,-2.27726,47.72274,460046
Key Metric,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.71443,-122.71443,-11.55953,38.44047,297128
Latent Heat,sub-subtopic,Solar Panel,Solar systems economics ,-52.71042,-122.71042,-2.38852,47.61148,846324
Maximum Capacity,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.70948,-122.70948,-7.80542,42.19458,972450
Current Solar,sub-subtopic,Solar Panel,Solar technology adoption ,-52.70732,-122.70732,-4.29044,45.70956,717174
Pvt Technology,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.70721,-122.70721,-11.67314,38.32686,414396
Pvt Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.70343,-122.70343,-4.38961,45.61039,789730
Glass Layer,sub-subtopic,Solar Panel,Thermal efficiency,-52.70225,-122.70225,-2.40281,47.59719,604250
Pvt Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.7011,-122.7011,-11.66036,38.33964,235590
Tube Array,sub-subtopic,Solar Panel,Solar Materials ,-52.7002,-122.7002,8.80533,58.80533,393574
Thermal Absorbers,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.69487,-122.69487,-2.35546,47.64454,282343
Main Energy,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.69259,-122.69259,-4.7371,45.2629,764585
Day,sub-subtopic,Solar Panel,Solar systems economics ,-52.69124,-122.69124,-11.98207,38.01793,631956
Pvt Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.69093,-122.69093,-4.30933,45.69067,387232
Heat Transfer,sub-subtopic,Solar Panel,Solar Materials ,-52.68965,-122.68965,-0.77881,49.22119,692700
Pvt Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.68846,-122.68846,-3.11185,46.88815,185287
Pvt Collectors,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.68637,-122.68637,-12.09063,37.90937,495827
Concentrating Pvt,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.68628,-122.68628,-1.78018,48.21982,63388
Concentrating Pvt,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.68349,-122.68349,-2.07463,47.92537,277137
Study,sub-subtopic,Solar Panel,Renewable Solutions Integration,-52.68149,-122.68149,-4.41822,45.58178,221498
Previous Studies,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.67621,-122.67621,-4.47655,45.52345,301920
Study,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-52.67441,-122.67441,-1.66188,48.33812,945373
Water Production,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.67193,-122.67193,-10.97372,39.02628,836077
Cpvt Collector,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.67065,-122.67065,-4.57933,45.42067,248624
Panel Cooling,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.67038,-122.67038,-4.13766,45.86234,421333
Pvt Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.66848,-122.66848,-2.40713,47.59287,312370
Saline Solution,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.66665,-122.66665,-11.70036,38.29964,903900
Desalination Process,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.66458,-122.66458,-2.44657,47.55343,395378
Main Mechanisms,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.66288,-122.66288,-4.32849,45.67151,665619
Wastes Due,sub-subtopic,Solar Panel,Renewable energy Integration,-52.66149,-122.66149,-4.36127,45.63873,831173
Thermal Desalination,sub-subtopic,Solar Panel,Thermal efficiency,-52.65883,-122.65883,-0.89893,49.10107,984595
War Singer,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.65841,-122.65841,-2.18808,47.81192,838345
Pvt Collectors,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.65514,-122.65514,-2.39102,47.60898,616251
Energy Efficiency,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.65235,-122.65235,-2.66851,47.33149,777677
Heating Steam,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64899,-122.64899,-4.28933,45.71067,920571
Water Flux,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64871,-122.64871,-4.34099,45.65901,626905
Improve Water,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64654,-122.64654,-2.26407,47.73593,509062
Reverse Osmosis,sub-subtopic,Solar Panel,Thermal efficiency,-52.64526,-122.64526,-11.9873,38.0127,717904
Bwr System,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64322,-122.64322,-1.70684,48.29316,651190
Bwr System,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64263,-122.64263,-2.62101,47.37899,269360
Pvt-Ro Compare,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64042,-122.64042,-0.83527,49.16473,659380
Power Consumption,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.64009,-122.64009,-4.58321,45.41679,976942
Operational Temperature,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.63926,-122.63926,-4.55377,45.44623,483077
Divalent Ions,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.63665,-122.63665,-11.76758,38.23242,66533
Pvt Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.63625,-122.63625,-2.45963,47.54037,862144
Membrane Degradation,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.63447,-122.63447,-8.26458,41.73542,898152
Pre-Treatment Enable,sub-subtopic,Solar Panel,Sustainable technologies ,-52.63288,-122.63288,-4.26572,45.73428,699063
Thermal Softening,sub-subtopic,Solar Panel,Thermal efficiency,-52.63264,-122.63264,-2.43268,47.56732,234396
Thermal Softening,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.63125,-122.63125,-2.50602,47.49398,314021
Desalination Processes,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.63124,-122.63124,-2.90324,47.09676,483664
Coupling Mechanisms,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.63097,-122.63097,-2.58213,47.41787,602856
Desalination Processes,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.62902,-122.62902,-2.74851,47.25149,640953
Large Fraction,sub-subtopic,Solar Panel,Renewable energy Integration,-52.62637,-122.62637,-11.04177,38.95823,280952
Desalination Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.62541,-122.62541,-2.61101,47.38899,462215
Pvt Collector,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.6243,-122.6243,-2.47657,47.52343,453947
Controller Design,sub-subtopic,Solar Panel,Sustainable technologies ,-52.62069,-122.62069,-2.70046,47.29954,527916
Pvt Collector,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.61509,-122.61509,-5.22543,44.77457,849687
Preliminary Techno-Economic,sub-subtopic,Solar Panel,Solar systems economics ,-52.61499,-122.61499,-11.2476,38.7524,342894
Desalination Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.61267,-122.61267,-1.4874,48.5126,647182
Thermally Driven,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.61259,-122.61259,-4.60877,45.39123,191597
Driven Desalination,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.61231,-122.61231,-4.63432,45.36568,548766
Pvt Collectors,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.61026,-122.61026,-11.08955,38.91045,408120
Latent Heat,sub-subtopic,Solar Panel,Solar systems economics ,-52.61014,-122.61014,-2.46685,47.53315,696916
Driven Desalination,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.60676,-122.60676,-4.64266,45.35734,496093
Variables Considered,sub-subtopic,Solar Panel,Solar systems economics ,-52.60596,-122.60596,-3.05796,46.94204,43303
Current Pvt,sub-subtopic,Solar Panel,Solar systems economics ,-52.6029,-122.6029,-3.03685,46.96315,961750
Relative Water,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.60263,-122.60263,-2.83018,47.16982,106682
Cost Reduction,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.60193,-122.60193,-0.78061,49.21939,181350
Cost Reduction,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.60007,-122.60007,-4.58582,45.41418,918128
Major Limitation,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.59994,-122.59994,-4.2197,45.7803,334053
Promising Solution,sub-subtopic,Solar Panel,Energy efficiency meaasures,-52.59899,-122.59899,-4.30683,45.69317,212614
Non-Concentrating Pvt,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.59899,-122.59899,-4.33211,45.66789,271717
Desalination Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.59875,-122.59875,-2.41518,47.58482,809700
Pvt Desalination,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.59481,-122.59481,-4.61932,45.38068,615435
Pvt Collectors,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.59452,-122.59452,-2.87869,47.12131,38306
Compare Pvt,sub-subtopic,Solar Panel,Solar systems economics ,-52.59101,-122.59101,-1.1535,48.8465,945441
Financial Interests,sub-subtopic,Solar Panel,Electricity access,-52.5893,-122.5893,-2.6249,47.3751,41654
Pvt System,sub-subtopic,Solar Panel,Solar systems economics ,-52.58887,-122.58887,-12.01285,37.98715,288381
Pvt Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.58442,-122.58442,-11.98952,38.01048,456649
Calculated,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.58203,-122.58203,-4.77849,45.22151,802825
Tech-Economic Performance,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.58045,-122.58045,-1.21295,48.78705,249744
Passive Solar,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.57971,-122.57971,-11.4212,38.5788,926988
Renewable Sustainable,sub-subtopic,Solar Panel,Solar urban sustainability ,-52.57703,-122.57703,-4.85266,45.14734,426542
Wastewater Treatment,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.57694,-122.57694,-2.89213,47.10787,224410
Chp,sub-subtopic,Solar Panel,Sustainable technologies ,-52.5755,-122.5755,-11.95989,38.04011,407962
Article Discuss,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.5751,-122.5751,-4.31544,45.68456,892183
Marine Impacts,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.57037,-122.57037,-4.59238,45.40762,117434
Peters' Paper,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.5697,-122.5697,-11.89258,38.10742,842240
Solar-Thermal Systems,sub-subtopic,Solar Panel,Solar systems economics ,-52.56731,-122.56731,-4.52016,45.47984,157490
Recent Years,sub-subtopic,Solar Panel,Sustainable technologies ,-52.56164,-122.56164,-12.02535,37.97465,8730
Hybrid Solar,sub-subtopic,Solar Panel,Solar forecasting solutions ,-52.56093,-122.56093,-4.33349,45.66651,265144
Hybrid Photovoltaic,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.56038,-122.56038,-4.24155,45.75845,465806
Solar Energy,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.55832,-122.55832,-11.19204,38.80796,292842
Main Focus,sub-subtopic,Solar Panel,Solar performance assessment,-52.5572,-122.5572,-12.04785,37.95215,402148
Mark Ides,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.55707,-122.55707,-2.59824,47.40176,844765
Stand-Alone Reverse,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.55498,-122.55498,-12.03758,37.96242,270399
Salinity Gradients,sub-subtopic,Solar Panel,Solar Energy Optimization,-52.55431,-122.55431,-2.0813,47.9187,41381
Feed Water,sub-subtopic,Solar Panel,Thermal efficiency,-52.55369,-122.55369,-1.21035,48.78965,806394
Specific Energy,sub-subtopic,Solar Panel,Solar energy efficiency ,-52.55236,-122.55236,-2.26879,47.73121,552195
Main Focus,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.5504,-122.5504,-2.76435,47.23565,910180
Reverse Osmosis,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-52.54649,-122.54649,-4.26711,45.73289,976296
